State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income,Total_Population,Land_Area_SqMi,population_density,Region,Division,log_population_density,log_median_income,total_minority_pct
Alabama,Baldwin,2025,42,1.0,5.8,80.7,8.0,0.3,1.0,3.6,78775.0,246989,1589.863,155.35237941885558,South,East South Central,5.052112302328859,11.274350966625475,13.8
Alabama,Clay,2025,32,1.0,3.3,78.9,12.8,0.2,0.4,4.4,55250.0,14192,603.962,23.49816710322835,South,East South Central,3.1985983026389873,10.91962361938,16.1
Alabama,DeKalb,2025,42,1.0,17.1,77.0,1.3,0.4,0.2,3.4,51204.0,72269,777.077,93.00107968708376,South,East South Central,4.5433062682368455,10.843572932976,18.400000000000002
Alabama,Elmore,2025,32,0.9833333333333332,3.4,71.8,21.1,0.1,0.5,3.0,78243.0,89526,618.516,144.7432241041461,South,East South Central,4.981846334298431,11.267574647531886,24.5
Alabama,Etowah,2025,45,1.0,5.2,76.2,14.7,0.1,0.7,2.8,54563.0,103105,535.105,192.68181011203407,South,East South Central,5.266216658476434,10.907111276342949,19.9
Alabama,Jefferson,2025,53,1.0,5.5,47.5,42.1,0.1,1.9,2.3,66388.0,667755,1111.54,600.7476114219911,South,East South Central,6.399838107269331,11.10327159624061,47.6
Alabama,Lawrence,2025,23,0.1055555555555555,3.1,75.5,9.3,3.7,0.4,7.8,66071.0,33276,690.684,48.17832757092969,South,East South Central,3.8954530299253483,11.09848520037178,12.4
Alabama,Madison,2025,42,1.0,6.8,61.6,23.6,0.4,2.5,4.8,86499.0,405718,801.602,506.1339667316199,South,East South Central,6.228775202872134,11.367888132159504,30.400000000000002
Alabama,Mobile,2025,43,1.0,3.5,54.8,35.7,0.3,2.2,3.0,58880.0,412590,1229.374,335.60983069432086,South,East South Central,5.818924487195703,10.983256753402758,39.2
Alabama,Montgomery,2025,44,1.0,5.0,29.7,58.8,0.0,3.4,3.0,59386.0,226718,785.355,288.68218830974524,South,East South Central,5.66878441966023,10.991813787335737,63.8
Alabama,Morgan,2025,42,1.0,10.6,72.1,12.5,0.3,0.6,3.4,68845.0,124471,579.669,214.7277152995934,South,East South Central,5.3740170351715415,11.139612879878472,23.1
Alabama,Russell,2025,38,1.0,6.0,43.9,45.1,0.1,0.5,3.9,51197.0,58811,641.182,91.72278697780035,South,East South Central,4.5296142565801985,10.843436215560919,51.1
Alabama,Shelby,2025,33,1.0,7.6,73.2,13.4,0.1,2.2,3.0,97961.0,230211,785.441,293.09776291280946,South,East South Central,5.683912238978178,11.492324719262264,21.0
Alabama,Sumter,2025,41,1.0,0.7,25.7,68.1,0.1,0.2,5.2,33310.0,11878,903.826,13.141910057909376,South,East South Central,2.6491427332346134,10.413612931187725,68.8
Alabama,Tuscaloosa,2025,41,1.0,5.6,58.9,30.8,0.2,1.6,2.8,66231.0,237552,1320.848,179.84809758579337,South,East South Central,5.197657439049405,11.100903910262819,36.4
Alaska,Aleutians East,2025,11,0.1111111111111111,8.7,16.9,3.0,39.8,19.0,11.1,65365.0,3491,6986.254,0.4996955449944992,West,Pacific,0.4052621175032983,11.08774222599596,11.7
Alaska,Anchorage,2025,24,1.0,9.5,54.2,4.8,7.0,9.8,10.7,103284.0,288976,1707.004,169.28841408690317,West,Pacific,5.137493552981483,11.545237754437474,14.3
Alaska,Denali,2025,38,1.0,8.1,71.8,2.7,2.9,2.2,10.0,80781.0,1969,12641.049,0.1557623896561116,West,Pacific,0.14476020384267924,11.299497068342589,10.8
Alaska,Fairbanks North Star,2025,42,1.0,8.5,66.8,3.9,5.8,2.8,10.6,88267.0,95460,7334.752,13.01475496376701,West,Pacific,2.6401107006085387,11.388121590804795,12.4
Alaska,Kenai Peninsula,2025,8,0.1111111111111111,4.4,77.5,0.6,6.1,1.8,8.4,80538.0,60413,16017.53,3.771680152932443,West,Pacific,1.562698476199828,11.296484401715691,5.0
Alaska,Matanuska-Susitna,2025,7,0.9777777777777776,5.4,75.7,1.1,5.4,1.6,9.8,94031.0,112988,24707.306,4.573060292368581,West,Pacific,1.7179443271846435,11.451379794118326,6.5
Alaska,North Slope,2025,7,0.1055555555555555,5.4,31.0,1.2,48.7,5.4,6.2,95694.0,10810,88823.624,0.1217018571545786,West,Pacific,0.11484704732834458,11.468910879550808,6.6000000000000005
Arizona,Apache,2025,14,1.0,6.4,18.8,1.0,71.0,0.7,2.0,41438.0,65341,11198.313,5.834896738464089,West,Mountain,1.9220413623023291,10.631953613220428,7.4
Arizona,Cochise,2025,46,1.0,34.7,54.1,2.9,0.5,1.9,5.2,59742.0,125566,6209.863,20.220413880306214,West,Mountain,3.054963637251344,10.99779056961614,37.6
Arizona,Coconino,2025,48,1.0,15.5,52.2,1.4,24.2,1.7,4.5,72966.0,144508,18616.354,7.76242222295515,West,Mountain,2.1704723761963685,11.197748858209055,16.9
Arizona,Gila,2025,50,1.0,18.0,61.4,0.5,9.2,0.8,9.8,61986.0,53795,4757.578,11.30722396984348,West,Mountain,2.51018640459806,11.0346638320775,18.5
Arizona,La Paz,2025,47,1.0,25.6,57.3,1.4,10.9,1.4,3.3,49478.0,16664,4496.579,3.7059284402653665,West,Mountain,1.5488230841260993,10.80928340531763,27.0
Arizona,Maricopa,2025,71,1.0,31.2,52.5,5.4,1.3,4.5,4.5,89300.0,4559748,9202.016,495.5161999283635,West,Mountain,6.207616111207446,11.39975676686459,36.6
Arizona,Mohave,2025,19,1.0,17.1,74.9,1.0,1.3,1.1,4.1,57684.0,220517,13332.117,16.540283887397628,West,Mountain,2.8645001719554553,10.96273511768196,18.1
Arizona,Navajo,2025,12,1.0,10.9,42.7,1.0,41.0,0.4,3.6,54606.0,108415,9949.492,10.896536225166068,West,Mountain,2.4762472842319094,10.907899045805411,11.9
Arizona,Pima,2025,55,1.0,36.4,50.5,3.3,1.9,2.9,4.3,70315.0,1060490,9188.683,115.41262224412355,West,Mountain,4.757140967941704,11.160740426304349,39.699999999999996
Arizona,Pinal,2025,66,1.0,29.8,54.9,5.1,3.4,1.6,4.3,80266.0,469006,5366.671,87.39235179499543,West,Mountain,4.481785447744526,11.29310139806636,34.9
Arizona,Santa Cruz,2025,45,1.0,82.5,15.3,0.1,0.2,0.3,1.2,55217.0,48926,1236.26,39.57581738469254,West,Mountain,3.703172258230218,10.91902615586634,82.6
Arizona,Yavapai,2025,49,1.0,15.4,77.4,0.5,1.0,1.1,3.9,69613.0,245480,8122.932,30.220614920819234,West,Mountain,3.44107861126805,11.150706610490193,15.9
Arizona,Yuma,2025,49,1.0,64.9,29.0,1.5,0.8,1.0,2.3,62876.0,211741,5513.82,38.401870209763835,West,Mountain,3.6738132824302427,11.048919811848128,66.4
Arkansas,Arkansas,2025,49,0.5055555555555555,4.1,67.1,26.1,0.1,0.1,2.4,53164.0,16515,992.14,16.645836273106617,South,West South Central,2.870499850342872,10.881136754541224,30.200000000000003
Arkansas,Ashley,2025,49,0.5055555555555555,6.4,67.3,23.7,0.1,0.0,2.2,44266.0,18429,925.492,19.912651865170098,South,West South Central,3.0403543282193946,10.697972167001991,30.1
Arkansas,Clark,2025,35,1.0,5.6,67.3,23.2,0.0,0.8,2.8,52034.0,21125,865.971,24.39458134279323,South,West South Central,3.2345358183048813,10.859652630053144,28.799999999999997
Arkansas,Crittenden,2025,41,1.0,3.3,38.8,50.9,0.1,0.8,6.2,55358.0,47266,612.865,77.12302056733539,South,West South Central,4.358284770997478,10.92157646247132,54.199999999999996
Arkansas,Garland,2025,49,0.5055555555555555,7.5,79.2,7.6,0.3,0.7,4.5,57181.0,100035,677.615,147.62807789083772,South,West South Central,5.001447063902236,10.953976954355767,15.1
Arkansas,Jackson,2025,44,0.5055555555555555,3.3,75.1,15.2,0.5,0.4,5.6,44218.0,16712,633.611,26.37580471298636,South,West South Central,3.3096595836127913,10.696887224985165,18.5
Arkansas,Newton,2025,38,1.0,1.7,92.5,0.2,0.6,0.0,4.9,48986.0,7112,821.076,8.661804753762135,South,West South Central,2.268180458285949,10.799289821982947,1.9
Arkansas,Polk,2025,40,1.0,7.0,86.3,0.1,0.7,0.1,5.4,49191.0,19361,856.838,22.59586993107215,South,West South Central,3.161071693796095,10.803465958917979,7.1
Arkansas,Pulaski,2025,54,1.0,8.4,48.2,36.7,0.2,2.2,4.1,62873.0,399818,758.366,527.2098168957997,South,West South Central,6.269493585256017,11.048872097750989,45.1
Arkansas,Union,2025,52,0.5055555555555555,4.7,59.4,32.1,0.2,0.9,2.7,55259.0,37900,1039.067,36.47503000287758,South,West South Central,3.623674844598817,10.9197865020415,36.800000000000004
Arkansas,Washington,2025,41,1.0,18.6,59.9,3.0,0.6,2.4,12.2,70639.0,256765,941.45,272.7335493122311,South,West South Central,5.612155185488405,11.16533767889225,21.6
California,Amador,2025,40,1.0,16.0,72.6,1.9,1.0,1.3,5.8,88044.0,41428,594.585,69.67548794537366,West,Pacific,4.2580988076290245,11.385591968501995,17.9
California,Butte,2025,47,1.0,20.0,65.1,1.7,0.8,5.5,5.9,67928.0,207929,1636.49,127.05791052802032,West,Pacific,4.852482587605992,11.126203599679199,21.7
California,Calaveras,2025,43,1.0,14.5,76.4,1.0,1.1,2.2,4.6,78647.0,46248,1020.016,45.34046524760396,West,Pacific,3.8360155588244385,11.272724764084428,15.5
California,Colusa,2025,39,1.0,62.9,29.8,1.5,0.5,0.9,2.5,75672.0,21984,1150.679,19.105241340113096,West,Pacific,3.000980544261925,11.234163489893007,64.4
California,Del Norte,2025,33,0.9944444444444444,19.9,59.9,2.5,5.2,3.2,7.6,67058.0,27107,1006.202,26.939918624689675,West,Pacific,3.3300564413224154,11.1133131955373,22.4
California,El Dorado,2025,39,1.0,14.5,73.1,0.8,0.3,5.2,5.5,108845.0,192662,1707.841,112.8102674663508,West,Pacific,4.734532741403951,11.597680130835037,15.3
California,Fresno,2025,54,1.0,54.5,26.2,4.2,0.4,10.9,3.2,74201.0,1016725,5958.383,170.63773846025003,West,Pacific,5.145386083971791,11.214532906153606,58.7
California,Glenn,2025,40,1.0,45.0,47.5,0.2,0.7,3.0,3.4,67139.0,28494,1313.968,21.685459615454864,West,Pacific,3.1217241736757178,11.114520376172287,45.2
California,Humboldt,2025,36,1.0,14.2,69.5,1.3,3.1,3.0,8.0,61160.0,134541,3568.025,37.70741516665382,West,Pacific,3.656031188055063,11.021248660042998,15.5
California,Imperial,2025,64,1.0,86.0,9.1,2.0,0.6,1.3,0.9,57681.0,180202,4175.528,43.15669778768098,West,Pacific,3.7877446208141254,10.962683108840446,88.0
California,Inyo,2025,54,1.0,24.2,58.0,0.5,9.3,1.5,5.7,73991.0,18739,10197.261,1.8376503259061427,West,Pacific,1.0429763596971346,11.211698743168176,24.7
California,Kern,2025,61,1.0,56.5,29.6,4.8,0.3,5.1,3.0,70210.0,915075,8134.673,112.49069261911328,West,Pacific,4.731720830203169,11.159246030011294,61.3
California,Kings,2025,53,1.0,58.2,28.0,5.8,0.7,3.6,3.2,70995.0,153298,1390.972,110.2092637378754,West,Pacific,4.711413685341929,11.170364731008458,64.0
California,Lake,2025,17,0.1888888888888888,24.6,64.0,2.0,1.6,1.4,5.6,60621.0,68152,1255.082,54.30083452714643,West,Pacific,4.01278799932123,11.012396646681605,26.6
California,Los Angeles,2025,77,1.0,48.4,24.7,7.4,0.2,14.9,3.5,90112.0,9808667,4060.246,2415.7814575767084,West,Pacific,7.7901919577394505,11.408808620077659,55.8
California,Madera,2025,43,0.6666666666666666,60.9,29.9,2.4,0.4,2.4,3.4,76627.0,160940,2136.918,75.31407382033376,West,Pacific,4.334857375020542,11.24670477403981,63.3
California,Marin,2025,21,0.1111111111111111,19.5,65.1,2.1,0.1,6.1,5.9,149091.0,257969,520.141,495.9597493756501,West,Pacific,6.20850903564526,11.912312136757922,21.6
California,Mariposa,2025,45,1.0,14.7,74.0,0.9,1.3,1.9,5.8,68412.0,17082,1448.84,11.790121752574477,West,Pacific,2.5486731349023213,11.133303526819581,15.6
California,Merced,2025,43,0.5,63.4,23.2,2.6,0.2,7.1,2.9,65510.0,290201,1938.004,149.74220899440868,West,Pacific,5.015571152642623,11.089958081725921,66.0
California,Mono,2025,22,1.0,27.1,64.9,0.1,1.2,1.8,3.9,99415.0,13148,3048.904,4.312369297295028,West,Pacific,1.6700379310857674,11.507058286692182,27.200000000000003
California,Monterey,2025,40,1.0,61.6,26.9,2.0,0.1,5.5,3.0,97230.0,437613,3281.718,133.34875208655956,West,Pacific,4.900439046492568,11.484834584803703,63.6
California,Nevada,2025,44,1.0,10.7,80.7,0.3,0.3,1.6,5.7,89882.0,102481,957.76,107.0007099899766,West,Pacific,4.682137801083876,11.406252977943106,11.0
California,Orange,2025,52,1.0,34.2,36.9,1.5,0.1,22.2,4.3,116289.0,3165820,792.861,3992.906701174607,West,Pacific,8.29252515395695,11.663833751058439,35.7
California,Placer,2025,51,1.0,15.7,65.5,1.6,0.2,9.1,7.2,115998.0,419156,1407.084,297.8898203660904,West,Pacific,5.700075011721283,11.661328228560556,17.3
California,Plumas,2025,46,1.0,10.3,80.8,1.0,1.5,0.8,5.3,66031.0,19423,2553.062,7.6077275052466415,West,Pacific,2.1526603469293617,11.097879607705167,11.3
California,Riverside,2025,87,1.0,51.3,31.0,6.0,0.3,6.9,3.6,93074.0,2478600,7209.253,343.808158764854,West,Pacific,5.842988200820652,11.441150154659564,57.3
California,Sacramento,2025,48,1.0,24.2,40.6,9.0,0.2,17.6,6.7,92175.0,1594006,965.28,1651.3405436764465,West,Pacific,7.409948073076923,11.431444223102345,33.2
California,San Benito,2025,41,1.0,62.4,29.2,0.8,0.2,3.5,3.6,114394.0,67290,1388.652,48.45706483697859,West,Pacific,3.901104916154789,11.647403908999966,63.199999999999996
California,San Bernardino,2025,90,1.0,55.2,24.7,7.5,0.3,8.1,3.5,85478.0,2197104,20068.167,109.48204686556574,West,Pacific,4.704853035952999,11.356014311873448,62.7
California,San Diego,2025,54,1.0,34.6,42.4,4.4,0.2,12.1,5.3,106268.0,3288774,4210.46,781.0961272640044,West,Pacific,6.661977657880697,11.573719484202817,39.0
California,San Joaquin,2025,44,1.0,42.5,26.8,6.6,0.3,18.2,4.6,92179.0,797334,1392.238,572.6994953449051,West,Pacific,6.35210573195763,11.431487617875451,49.1
California,San Luis Obispo,2025,51,1.0,25.0,64.5,1.1,0.1,3.4,5.1,97446.0,281555,3300.842,85.29793307283414,West,Pacific,4.457805647313968,11.487053657402658,26.1
California,Santa Barbara,2025,54,1.0,48.2,40.6,1.5,0.2,5.2,3.7,98161.0,443701,2733.941,162.29355351852877,West,Pacific,5.095549522886914,11.494364266781965,49.7
California,Santa Cruz,2025,37,1.0,35.2,53.9,0.7,0.1,4.7,4.5,111093.0,264926,445.106,595.1975484491335,West,Pacific,6.390572069274989,11.618122967342112,35.900000000000006
California,Shasta,2025,44,1.0,11.8,75.3,0.8,1.3,3.4,6.7,72636.0,181436,3775.651,48.05422958848686,West,Pacific,3.8929264124362106,11.193215945679688,12.600000000000001
California,Siskiyou,2025,6,0.0833333333333333,13.5,73.3,1.3,2.7,1.8,6.5,59095.0,43466,6278.767,6.922696765145131,West,Pacific,2.069731648518782,10.98690159744634,14.8
California,Solano,2025,34,1.0,29.6,33.2,12.3,0.2,15.9,6.9,100401.0,451918,821.736,549.9552167606141,West,Pacific,6.311653529553292,11.516927446349527,41.900000000000006
California,Sonoma,2025,9,1.0,30.0,57.9,1.5,0.3,4.3,5.0,104674.0,485040,1575.337,307.8960247870773,West,Pacific,5.733004730910288,11.558606037462201,31.5
