State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races
Alabama,Baldwin,2025,42,1.0,5.8,80.7,8.0,0.3,1.0,3.6
Alabama,Clay,2025,32,1.0,3.3,78.9,12.8,0.2,0.4,4.4
Alabama,DeKalb,2025,42,1.0,17.1,77.0,1.3,0.4,0.2,3.4
Alabama,Elmore,2025,32,0.9833333333333332,3.4,71.8,21.1,0.1,0.5,3.0
Alabama,Etowah,2025,45,1.0,5.2,76.2,14.7,0.1,0.7,2.8
Alabama,Jefferson,2025,53,1.0,5.5,47.5,42.1,0.1,1.9,2.3
Alabama,Lawrence,2025,23,0.1055555555555555,3.1,75.5,9.3,3.7,0.4,7.8
Alabama,Madison,2025,42,1.0,6.8,61.6,23.6,0.4,2.5,4.8
Alabama,Mobile,2025,43,1.0,3.5,54.8,35.7,0.3,2.2,3.0
Alabama,Montgomery,2025,44,1.0,5.0,29.7,58.8,0.0,3.4,3.0
Alabama,Morgan,2025,42,1.0,10.6,72.1,12.5,0.3,0.6,3.4
Alabama,Russell,2025,38,1.0,6.0,43.9,45.1,0.1,0.5,3.9
Alabama,Shelby,2025,33,1.0,7.6,73.2,13.4,0.1,2.2,3.0
Alabama,Sumter,2025,41,1.0,0.7,25.7,68.1,0.1,0.2,5.2
Alabama,Tuscaloosa,2025,41,1.0,5.6,58.9,30.8,0.2,1.6,2.8
Alaska,Aleutians East,2025,11,0.1111111111111111,8.7,16.9,3.0,39.8,19.0,11.1
Alaska,Anchorage,2025,24,1.0,9.5,54.2,4.8,7.0,9.8,10.7
Alaska,Denali,2025,38,1.0,8.1,71.8,2.7,2.9,2.2,10.0
Alaska,Fairbanks North Star,2025,42,1.0,8.5,66.8,3.9,5.8,2.8,10.6
Alaska,Kenai Peninsula,2025,8,0.1111111111111111,4.4,77.5,0.6,6.1,1.8,8.4
Alaska,Matanuska-Susitna,2025,7,0.9777777777777776,5.4,75.7,1.1,5.4,1.6,9.8
Alaska,North Slope,2025,7,0.1055555555555555,5.4,31.0,1.2,48.7,5.4,6.2
Arizona,Apache,2025,14,1.0,6.4,18.8,1.0,71.0,0.7,2.0
Arizona,Cochise,2025,46,1.0,34.7,54.1,2.9,0.5,1.9,5.2
Arizona,Coconino,2025,48,1.0,15.5,52.2,1.4,24.2,1.7,4.5
Arizona,Gila,2025,50,1.0,18.0,61.4,0.5,9.2,0.8,9.8
Arizona,La Paz,2025,47,1.0,25.6,57.3,1.4,10.9,1.4,3.3
Arizona,Maricopa,2025,71,1.0,31.2,52.5,5.4,1.3,4.5,4.5
Arizona,Mohave,2025,19,1.0,17.1,74.9,1.0,1.3,1.1,4.1
Arizona,Navajo,2025,12,1.0,10.9,42.7,1.0,41.0,0.4,3.6
Arizona,Pima,2025,55,1.0,36.4,50.5,3.3,1.9,2.9,4.3
Arizona,Pinal,2025,66,1.0,29.8,54.9,5.1,3.4,1.6,4.3
Arizona,Santa Cruz,2025,45,1.0,82.5,15.3,0.1,0.2,0.3,1.2
Arizona,Yavapai,2025,49,1.0,15.4,77.4,0.5,1.0,1.1,3.9
Arizona,Yuma,2025,49,1.0,64.9,29.0,1.5,0.8,1.0,2.3
Arkansas,Arkansas,2025,49,0.5055555555555555,4.1,67.1,26.1,0.1,0.1,2.4
Arkansas,Ashley,2025,49,0.5055555555555555,6.4,67.3,23.7,0.1,0.0,2.2
Arkansas,Clark,2025,35,1.0,5.6,67.3,23.2,0.0,0.8,2.8
Arkansas,Crittenden,2025,41,1.0,3.3,38.8,50.9,0.1,0.8,6.2
Arkansas,Garland,2025,49,0.5055555555555555,7.5,79.2,7.6,0.3,0.7,4.5
Arkansas,Jackson,2025,44,0.5055555555555555,3.3,75.1,15.2,0.5,0.4,5.6
Arkansas,Newton,2025,38,1.0,1.7,92.5,0.2,0.6,0.0,4.9
Arkansas,Polk,2025,40,1.0,7.0,86.3,0.1,0.7,0.1,5.4
Arkansas,Pulaski,2025,54,1.0,8.4,48.2,36.7,0.2,2.2,4.1
Arkansas,Union,2025,52,0.5055555555555555,4.7,59.4,32.1,0.2,0.9,2.7
Arkansas,Washington,2025,41,1.0,18.6,59.9,3.0,0.6,2.4,12.2
California,Amador,2025,40,1.0,16.0,72.6,1.9,1.0,1.3,5.8
California,Butte,2025,47,1.0,20.0,65.1,1.7,0.8,5.5,5.9
California,Calaveras,2025,43,1.0,14.5,76.4,1.0,1.1,2.2,4.6
California,Colusa,2025,39,1.0,62.9,29.8,1.5,0.5,0.9,2.5
California,Del Norte,2025,33,0.9944444444444444,19.9,59.9,2.5,5.2,3.2,7.6
California,El Dorado,2025,39,1.0,14.5,73.1,0.8,0.3,5.2,5.5
California,Fresno,2025,54,1.0,54.5,26.2,4.2,0.4,10.9,3.2
California,Glenn,2025,40,1.0,45.0,47.5,0.2,0.7,3.0,3.4
California,Humboldt,2025,36,1.0,14.2,69.5,1.3,3.1,3.0,8.0
California,Imperial,2025,64,1.0,86.0,9.1,2.0,0.6,1.3,0.9
California,Inyo,2025,54,1.0,24.2,58.0,0.5,9.3,1.5,5.7
California,Kern,2025,61,1.0,56.5,29.6,4.8,0.3,5.1,3.0
California,Kings,2025,53,1.0,58.2,28.0,5.8,0.7,3.6,3.2
California,Lake,2025,17,0.1888888888888888,24.6,64.0,2.0,1.6,1.4,5.6
California,Los Angeles,2025,77,1.0,48.4,24.7,7.4,0.2,14.9,3.5
California,Madera,2025,43,0.6666666666666666,60.9,29.9,2.4,0.4,2.4,3.4
California,Marin,2025,21,0.1111111111111111,19.5,65.1,2.1,0.1,6.1,5.9
California,Mariposa,2025,45,1.0,14.7,74.0,0.9,1.3,1.9,5.8
California,Merced,2025,43,0.5,63.4,23.2,2.6,0.2,7.1,2.9
California,Mono,2025,22,1.0,27.1,64.9,0.1,1.2,1.8,3.9
California,Monterey,2025,40,1.0,61.6,26.9,2.0,0.1,5.5,3.0
California,Nevada,2025,44,1.0,10.7,80.7,0.3,0.3,1.6,5.7
California,Orange,2025,52,1.0,34.2,36.9,1.5,0.1,22.2,4.3
