State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income,Total_Population,Land_Area_SqMi,population_density,Region,Division,log_population_density,log_median_income,total_minority_pct,Division_East North Central,Division_East South Central,Division_Middle Atlantic,Division_Mountain,Division_New England,Division_Pacific,Division_South Atlantic,Division_West North Central,Division_West South Central,interaction_income_Division_East North Central,interaction_density_Division_East North Central,interaction_income_Division_East South Central,interaction_density_Division_East South Central,interaction_income_Division_Middle Atlantic,interaction_density_Division_Middle Atlantic,interaction_income_Division_Mountain,interaction_density_Division_Mountain,interaction_income_Division_New England,interaction_density_Division_New England,interaction_income_Division_Pacific,interaction_density_Division_Pacific,interaction_income_Division_South Atlantic,interaction_density_Division_South Atlantic,interaction_income_Division_West North Central,interaction_density_Division_West North Central,interaction_income_Division_West South Central,interaction_density_Division_West South Central
Alabama,Baldwin,2025,42,1.0,5.8,80.7,8.0,0.3,1.0,3.6,78775.0,246989,1589.863,155.35237941885558,South,East South Central,5.052112302328859,11.274363660927637,13.8,False,True,False,False,False,False,False,False,False,0.0,0.0,11.274363660927637,5.052112302328859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Clay,2025,32,1.0,3.3,78.9,12.8,0.2,0.4,4.4,55250.0,14192,603.962,23.49816710322835,South,East South Central,3.1985983026389873,10.919641718763716,16.1,False,True,False,False,False,False,False,False,False,0.0,0.0,10.919641718763716,3.1985983026389873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,DeKalb,2025,42,1.0,17.1,77.0,1.3,0.4,0.2,3.4,51204.0,72269,777.077,93.00107968708376,South,East South Central,4.5433062682368455,10.843592462509537,18.400000000000002,False,True,False,False,False,False,False,False,False,0.0,0.0,10.843592462509537,4.5433062682368455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Elmore,2025,32,0.9833333333333332,3.4,71.8,21.1,0.1,0.5,3.0,78243.0,89526,618.516,144.7432241041461,South,East South Central,4.981846334298431,11.26758742814625,24.5,False,True,False,False,False,False,False,False,False,0.0,0.0,11.26758742814625,4.981846334298431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Etowah,2025,45,1.0,5.2,76.2,14.7,0.1,0.7,2.8,54563.0,103105,535.105,192.68181011203407,South,East South Central,5.266216658476434,10.907129603613011,19.9,False,True,False,False,False,False,False,False,False,0.0,0.0,10.907129603613011,5.266216658476434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Jefferson,2025,53,1.0,5.5,47.5,42.1,0.1,1.9,2.3,66388.0,667755,1111.54,600.7476114219911,South,East South Central,6.399838107269331,11.103286659090351,47.6,False,True,False,False,False,False,False,False,False,0.0,0.0,11.103286659090351,6.399838107269331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Lawrence,2025,23,0.1055555555555555,3.1,75.5,9.3,3.7,0.4,7.8,66071.0,33276,690.684,48.17832757092969,South,East South Central,3.8954530299253483,11.098500335490552,12.4,False,True,False,False,False,False,False,False,False,0.0,0.0,11.098500335490552,3.8954530299253483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Madison,2025,42,1.0,6.8,61.6,23.6,0.4,2.5,4.8,86499.0,405718,801.602,506.1339667316199,South,East South Central,6.228775202872134,11.36789969291997,30.400000000000002,False,True,False,False,False,False,False,False,False,0.0,0.0,11.36789969291997,6.228775202872134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Mobile,2025,43,1.0,3.5,54.8,35.7,0.3,2.2,3.0,58880.0,412590,1229.374,335.60983069432086,South,East South Central,5.818924487195703,10.983273736954189,39.2,False,True,False,False,False,False,False,False,False,0.0,0.0,10.983273736954189,5.818924487195703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Montgomery,2025,44,1.0,5.0,29.7,58.8,0.0,3.4,3.0,59386.0,226718,785.355,288.68218830974524,South,East South Central,5.66878441966023,10.991830626179583,63.8,False,True,False,False,False,False,False,False,False,0.0,0.0,10.991830626179583,5.66878441966023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
