State,County,Year,median_aqi,sample_weight
Alabama,Baldwin,2025,42,1.0
Alabama,Clay,2025,32,1.0
Alabama,DeKalb,2025,42,1.0
Alabama,Elmore,2025,32,0.9833333333333333
Alabama,Etowah,2025,45,1.0
Alabama,Jefferson,2025,53,1.0
Alabama,Lawrence,2025,23,0.10555555555555556
Alabama,Madison,2025,42,1.0
Alabama,Mobile,2025,43,1.0
Alabama,Montgomery,2025,44,1.0
Alabama,Morgan,2025,42,1.0
Alabama,Russell,2025,38,1.0
Alabama,Shelby,2025,33,1.0
Alabama,Sumter,2025,41,1.0
Alabama,Tuscaloosa,2025,41,1.0
Alaska,Aleutians East,2025,11,0.1111111111111111
Alaska,Anchorage,2025,24,1.0
Alaska,Denali,2025,38,1.0
Alaska,Fairbanks North Star,2025,42,1.0
Alaska,Juneau,2025,21,1.0
Alaska,Kenai Peninsula,2025,8,0.1111111111111111
Alaska,Matanuska-Susitna,2025,7,0.9777777777777777
Alaska,North Slope,2025,7,0.10555555555555556
Arizona,Apache,2025,14,1.0
Arizona,Cochise,2025,46,1.0
Arizona,Coconino,2025,48,1.0
Arizona,Gila,2025,50,1.0
Arizona,La Paz,2025,47,1.0
Arizona,Maricopa,2025,71,1.0
Arizona,Mohave,2025,19,1.0
Arizona,Navajo,2025,12,1.0
Arizona,Pima,2025,55,1.0
Arizona,Pinal,2025,66,1.0
Arizona,Santa Cruz,2025,45,1.0
Arizona,Yavapai,2025,49,1.0
Arizona,Yuma,2025,49,1.0
Arkansas,Arkansas,2025,49,0.5055555555555555
Arkansas,Ashley,2025,49,0.5055555555555555
Arkansas,Clark,2025,35,1.0
Arkansas,Crittenden,2025,41,1.0
Arkansas,Garland,2025,49,0.5055555555555555
Arkansas,Jackson,2025,44,0.5055555555555555
Arkansas,Newton,2025,38,1.0
Arkansas,Polk,2025,40,1.0
Arkansas,Pulaski,2025,54,1.0
Arkansas,Union,2025,52,0.5055555555555555
Arkansas,Washington,2025,41,1.0
California,Amador,2025,40,1.0
California,Butte,2025,47,1.0
California,Calaveras,2025,43,1.0
California,Colusa,2025,39,1.0
California,Del Norte,2025,33,0.9944444444444445
