"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"Autauga County, Alabama","1,539,631,461","25,677,536","594.455","9.914","32.5322367","−86.6464395"
"Baldwin County, Alabama","4,117,725,048","1,132,887,203","1,589.863","437.410","30.6592183","−87.7460666"
"Barbour County, Alabama","2,292,160,151","50,523,213","885.008","19.507","31.8702531","−85.4051035"
"Bibb County, Alabama","1,612,188,713","9,572,302","622.470","3.696","33.0158929","−87.1271475"
"Blount County, Alabama","1,670,259,100","14,860,281","644.891","5.738","33.9773575","−86.5664400"
"Bullock County, Alabama","1,613,083,468","6,030,667","622.815","2.328","32.1017589","−85.7172613"
"Butler County, Alabama","2,012,002,548","2,701,199","776.839","1.043","31.7516670","−86.6819689"
"Calhoun County, Alabama","1,569,248,377","16,534,047","605.890","6.384","33.7705162","−85.8279089"
"Chambers County, Alabama","1,545,068,570","16,988,729","596.554","6.559","32.9155039","−85.3940321"
"Cherokee County, Alabama","1,433,620,850","120,310,807","553.524","46.452","34.0695153","−85.6542417"
"Chilton County, Alabama","1,794,438,908","20,592,054","692.837","7.951","32.8540514","−86.7266071"
"Choctaw County, Alabama","2,365,900,084","19,114,321","913.479","7.380","31.9909539","−88.2488894"
"Clarke County, Alabama","3,207,494,083","36,657,889","1,238.420","14.154","31.6855211","−87.8186244"
"Clay County, Alabama","1,564,255,426","5,281,616","603.962","2.039","33.2703999","−85.8635254"
"Cleburne County, Alabama","1,450,666,453","2,352,217","560.105","0.908","33.6719637","−85.5161261"
"Coffee County, Alabama","1,758,565,928","3,907,189","678.986","1.509","31.4022580","−85.9896022"
"Colbert County, Alabama","1,535,740,663","79,162,005","592.953","30.565","34.7031120","−87.8014569"
"Conecuh County, Alabama","2,202,213,383","6,426,488","850.279","2.481","31.4309257","−86.9887221"
"Coosa County, Alabama","1,685,846,963","39,991,153","650.909","15.441","32.9314453","−86.2434818"
"Covington County, Alabama","2,669,165,560","34,194,851","1,030.571","13.203","31.2439873","−86.4487206"
"Crenshaw County, Alabama","1,576,952,763","5,388,562","608.865","2.081","31.7303106","−86.3200384"
"Cullman County, Alabama","1,902,965,941","52,529,994","734.739","20.282","34.1319229","−86.8692666"
"Dale County, Alabama","1,453,276,164","4,051,341","561.113","1.564","31.4306536","−85.6094760"
"Dallas County, Alabama","2,534,919,602","39,124,772","978.738","15.106","32.3335263","−87.1143600"
"DeKalb County, Alabama","2,012,620,262","4,107,136","777.077","1.586","34.4609148","−85.8040207"
"Elmore County, Alabama","1,601,948,960","99,777,799","618.516","38.524","32.5972290","−86.1427347"
"Escambia County, Alabama","2,448,595,164","20,024,887","945.408","7.732","31.1222867","−87.1684097"
"Etowah County, Alabama","1,385,916,764","35,022,972","535.105","13.522","34.0476407","−86.0342629"
"Fayette County, Alabama","1,625,693,253","4,330,881","627.684","1.672","33.7161568","−87.7642923"
