GEO_ID,County_Area,Total_Population,Land_Area_SqMi,population_density
0500000US01001,"Autauga County, Alabama",59947,594.455,100.84362987946942
0500000US01003,"Baldwin County, Alabama",246989,1589.863,155.35237941885558
0500000US01005,"Barbour County, Alabama",24643,885.008,27.84494603438613
0500000US01007,"Bibb County, Alabama",22130,622.47,35.55191414847302
0500000US01009,"Blount County, Alabama",59518,644.891,92.29156555138776
0500000US01011,"Bullock County, Alabama",10058,622.815,16.149257805287284
0500000US01013,"Butler County, Alabama",18630,776.839,23.98180317929455
0500000US01015,"Calhoun County, Alabama",116090,605.89,191.60243608575814
0500000US01017,"Chambers County, Alabama",34192,596.554,57.315850702534895
0500000US01019,"Cherokee County, Alabama",25443,553.524,45.96548659136731
0500000US01021,"Chilton County, Alabama",45992,692.837,66.38213605797613
0500000US01023,"Choctaw County, Alabama",12380,913.479,13.552583036938998
0500000US01025,"Clarke County, Alabama",22543,1238.42,18.20303289675554
0500000US01027,"Clay County, Alabama",14192,603.962,23.49816710322835
0500000US01029,"Cleburne County, Alabama",15426,560.105,27.54126458431901
0500000US01031,"Coffee County, Alabama",54920,678.986,80.88532016860437
0500000US01033,"Colbert County, Alabama",58022,592.953,97.85261226437846
0500000US01035,"Conecuh County, Alabama",11275,850.279,13.260353366365628
0500000US01037,"Coosa County, Alabama",10300,650.909,15.82402455642801
0500000US01039,"Covington County, Alabama",37628,1030.571,36.51179782858241
0500000US01041,"Crenshaw County, Alabama",13122,608.865,21.55157547239536
0500000US01043,"Cullman County, Alabama",90566,734.739,123.26281849745283
0500000US01045,"Dale County, Alabama",49599,561.113,88.39395986191728
0500000US01047,"Dallas County, Alabama",36858,978.738,37.65869926374576
0500000US01049,"DeKalb County, Alabama",72269,777.077,93.00107968708377
0500000US01051,"Elmore County, Alabama",89526,618.516,144.74322410414607
0500000US01053,"Escambia County, Alabama",36629,945.408,38.74411894124018
0500000US01055,"Etowah County, Alabama",103105,535.105,192.68181011203407
0500000US01057,"Fayette County, Alabama",16053,627.684,25.574970845202365
0500000US01059,"Franklin County, Alabama",31966,633.959,50.42281914130094
0500000US01061,"Geneva County, Alabama",26887,574.485,46.80191823981479
0500000US01063,"Greene County, Alabama",7424,647.023,11.474089792789437
0500000US01065,"Hale County, Alabama",14829,643.99,23.02675507383655
0500000US01067,"Henry County, Alabama",17647,561.892,31.40639126380158
