GEO_ID,County_Area,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races
0500000US01001,"Autauga County, Alabama",3.8,70.6,20.4,0.1,1.1,3.7
0500000US01003,"Baldwin County, Alabama",5.8,80.7,8.0,0.3,1.0,3.6
0500000US01005,"Barbour County, Alabama",6.2,43.7,46.3,0.1,0.6,1.8
0500000US01007,"Bibb County, Alabama",3.5,73.4,19.7,0.0,0.4,2.8
0500000US01009,"Blount County, Alabama",10.3,84.5,1.2,0.1,0.1,3.3
0500000US01011,"Bullock County, Alabama",6.0,21.0,69.5,0.0,0.4,3.0
0500000US01013,"Butler County, Alabama",1.7,50.5,44.7,0.5,1.3,1.3
0500000US01015,"Calhoun County, Alabama",4.6,69.3,21.6,0.2,0.8,3.0
0500000US01017,"Chambers County, Alabama",4.0,53.9,38.4,0.1,0.2,3.2
0500000US01019,"Cherokee County, Alabama",1.8,90.4,3.8,0.2,0.2,3.5
0500000US01021,"Chilton County, Alabama",10.2,76.4,9.4,0.0,0.4,2.6
0500000US01023,"Choctaw County, Alabama",1.2,56.6,37.5,0.2,0.0,4.5
0500000US01025,"Clarke County, Alabama",1.2,51.1,44.6,0.2,0.5,1.8
0500000US01027,"Clay County, Alabama",3.3,78.9,12.8,0.2,0.4,4.4
0500000US01029,"Cleburne County, Alabama",2.1,92.2,3.6,0.2,0.1,1.5
0500000US01031,"Coffee County, Alabama",9.8,67.5,15.6,0.5,1.1,5.3
0500000US01033,"Colbert County, Alabama",3.5,77.1,15.5,0.2,0.5,3.1
0500000US01035,"Conecuh County, Alabama",1.0,50.0,44.9,0.2,0.1,3.7
0500000US01037,"Coosa County, Alabama",2.5,65.9,29.2,0.1,0.3,2.1
0500000US01039,"Covington County, Alabama",2.0,82.3,11.9,0.2,0.5,2.8
0500000US01041,"Crenshaw County, Alabama",2.2,69.8,23.6,0.5,0.4,3.6
0500000US01043,"Cullman County, Alabama",5.0,89.5,1.0,0.3,0.5,3.6
0500000US01045,"Dale County, Alabama",7.1,66.1,20.3,0.2,1.2,4.8
0500000US01047,"Dallas County, Alabama",1.0,26.6,69.9,0.1,0.6,1.8
0500000US01049,"DeKalb County, Alabama",17.1,77.0,1.3,0.4,0.2,3.4
0500000US01051,"Elmore County, Alabama",3.4,71.8,21.1,0.1,0.5,3.0
0500000US01053,"Escambia County, Alabama",2.4,60.0,29.4,2.8,0.5,4.8
0500000US01055,"Etowah County, Alabama",5.2,76.2,14.7,0.1,0.7,2.8
0500000US01057,"Fayette County, Alabama",0.9,83.2,11.1,0.1,0.0,4.1
0500000US01059,"Franklin County, Alabama",20.6,72.5,4.0,0.1,0.1,2.4
0500000US01061,"Geneva County, Alabama",5.3,80.5,8.4,0.2,0.6,3.7
0500000US01063,"Greene County, Alabama",0.1,17.8,81.2,0.1,0.0,0.6
0500000US01065,"Hale County, Alabama",1.3,38.1,54.6,0.4,0.1,5.5
0500000US01067,"Henry County, Alabama",2.2,70.2,24.8,0.2,0.2,2.4
0500000US01069,"Houston County, Alabama",4.6,63.4,27.1,0.2,1.1,3.3
0500000US01071,"Jackson County, Alabama",3.6,88.2,3.1,0.4,0.5,4.0
0500000US01073,"Jefferson County, Alabama",5.5,47.5,42.1,0.1,1.9,2.3
0500000US01075,"Lamar County, Alabama",1.9,85.6,10.0,0.2,0.0,2.1
0500000US01077,"Lauderdale County, Alabama",3.5,82.1,9.0,0.2,0.6,4.2
0500000US01079,"Lawrence County, Alabama",3.1,75.5,9.3,3.7,0.4,7.8
0500000US01081,"Lee County, Alabama",5.4,65.3,21.6,0.0,4.3,2.7
0500000US01083,"Limestone County, Alabama",7.5,72.3,12.7,0.3,1.7,5.1
0500000US01085,"Lowndes County, Alabama",0.2,24.7,73.8,0.1,0.0,1.2
0500000US01087,"Macon County, Alabama",2.2,16.8,77.5,0.0,0.3,3.1
0500000US01089,"Madison County, Alabama",6.8,61.6,23.6,0.4,2.5,4.8
0500000US01091,"Marengo County, Alabama",2.7,44.3,50.8,0.1,0.3,1.9
0500000US01093,"Marion County, Alabama",3.2,89.7,3.5,0.2,0.3,3.1
0500000US01095,"Marshall County, Alabama",17.2,76.4,2.5,0.2,0.6,2.8
0500000US01097,"Mobile County, Alabama",3.5,54.8,35.7,0.3,2.2,3.0
0500000US01099,"Monroe County, Alabama",0.2,53.6,41.9,0.9,0.4,2.9
0500000US01101,"Montgomery County, Alabama",5.0,29.7,58.8,0.0,3.4,3.0
0500000US01103,"Morgan County, Alabama",10.6,72.1,12.5,0.3,0.6,3.4
0500000US01105,"Perry County, Alabama",0.2,27.8,71.2,0.0,0.0,0.7
0500000US01107,"Pickens County, Alabama",3.6,52.8,40.9,0.3,0.1,2.2
0500000US01109,"Pike County, Alabama",2.7,54.6,37.1,0.3,1.9,3.2
0500000US01111,"Randolph County, Alabama",3.0,74.6,15.5,0.1,0.4,5.9
