GEO_ID,County_Area,Median_Household_Income
0500000US01001,"Autauga County, Alabama",72481.0
0500000US01003,"Baldwin County, Alabama",78775.0
0500000US01005,"Barbour County, Alabama",46042.0
0500000US01007,"Bibb County, Alabama",52541.0
0500000US01009,"Blount County, Alabama",64190.0
0500000US01011,"Bullock County, Alabama",31310.0
0500000US01013,"Butler County, Alabama",44755.0
0500000US01015,"Calhoun County, Alabama",55029.0
0500000US01017,"Chambers County, Alabama",49656.0
0500000US01019,"Cherokee County, Alabama",53863.0
0500000US01021,"Chilton County, Alabama",65603.0
0500000US01023,"Choctaw County, Alabama",47813.0
0500000US01025,"Clarke County, Alabama",49249.0
0500000US01027,"Clay County, Alabama",55250.0
0500000US01029,"Cleburne County, Alabama",55345.0
0500000US01031,"Coffee County, Alabama",68353.0
0500000US01033,"Colbert County, Alabama",60628.0
0500000US01035,"Conecuh County, Alabama",41327.0
0500000US01037,"Coosa County, Alabama",57355.0
0500000US01039,"Covington County, Alabama",52456.0
0500000US01041,"Crenshaw County, Alabama",48560.0
0500000US01043,"Cullman County, Alabama",62656.0
0500000US01045,"Dale County, Alabama",54963.0
0500000US01047,"Dallas County, Alabama",35627.0
0500000US01049,"DeKalb County, Alabama",51204.0
0500000US01051,"Elmore County, Alabama",78243.0
0500000US01053,"Escambia County, Alabama",48225.0
0500000US01055,"Etowah County, Alabama",54563.0
0500000US01057,"Fayette County, Alabama",49488.0
0500000US01059,"Franklin County, Alabama",53338.0
0500000US01061,"Geneva County, Alabama",52771.0
0500000US01063,"Greene County, Alabama",29200.0
0500000US01065,"Hale County, Alabama",39250.0
0500000US01067,"Henry County, Alabama",59931.0
0500000US01069,"Houston County, Alabama",58626.0
0500000US01071,"Jackson County, Alabama",51908.0
0500000US01073,"Jefferson County, Alabama",66388.0
0500000US01075,"Lamar County, Alabama",50000.0
0500000US01077,"Lauderdale County, Alabama",62649.0
0500000US01079,"Lawrence County, Alabama",66071.0
0500000US01081,"Lee County, Alabama",65824.0
0500000US01083,"Limestone County, Alabama",83629.0
0500000US01085,"Lowndes County, Alabama",37052.0
0500000US01087,"Macon County, Alabama",43707.0
