GEO_ID,County_Area,Total_Population
0500000US01001,"Autauga County, Alabama",59947
0500000US01003,"Baldwin County, Alabama",246989
0500000US01005,"Barbour County, Alabama",24643
0500000US01007,"Bibb County, Alabama",22130
0500000US01009,"Blount County, Alabama",59518
0500000US01011,"Bullock County, Alabama",10058
0500000US01013,"Butler County, Alabama",18630
0500000US01015,"Calhoun County, Alabama",116090
0500000US01017,"Chambers County, Alabama",34192
0500000US01019,"Cherokee County, Alabama",25443
0500000US01021,"Chilton County, Alabama",45992
0500000US01023,"Choctaw County, Alabama",12380
0500000US01025,"Clarke County, Alabama",22543
0500000US01027,"Clay County, Alabama",14192
0500000US01029,"Cleburne County, Alabama",15426
0500000US01031,"Coffee County, Alabama",54920
0500000US01033,"Colbert County, Alabama",58022
0500000US01035,"Conecuh County, Alabama",11275
0500000US01037,"Coosa County, Alabama",10300
0500000US01039,"Covington County, Alabama",37628
0500000US01041,"Crenshaw County, Alabama",13122
0500000US01043,"Cullman County, Alabama",90566
0500000US01045,"Dale County, Alabama",49599
0500000US01047,"Dallas County, Alabama",36858
0500000US01049,"DeKalb County, Alabama",72269
0500000US01051,"Elmore County, Alabama",89526
0500000US01053,"Escambia County, Alabama",36629
0500000US01055,"Etowah County, Alabama",103105
0500000US01057,"Fayette County, Alabama",16053
0500000US01059,"Franklin County, Alabama",31966
0500000US01061,"Geneva County, Alabama",26887
0500000US01063,"Greene County, Alabama",7424
0500000US01065,"Hale County, Alabama",14829
0500000US01067,"Henry County, Alabama",17647
0500000US01069,"Houston County, Alabama",108140
0500000US01071,"Jackson County, Alabama",53053
0500000US01073,"Jefferson County, Alabama",667755
0500000US01075,"Lamar County, Alabama",13693
0500000US01077,"Lauderdale County, Alabama",95830
0500000US01079,"Lawrence County, Alabama",33276
0500000US01081,"Lee County, Alabama",181134
0500000US01083,"Limestone County, Alabama",111233
0500000US01085,"Lowndes County, Alabama",9833
0500000US01087,"Macon County, Alabama",18691
0500000US01089,"Madison County, Alabama",405718
0500000US01091,"Marengo County, Alabama",18851
0500000US01093,"Marion County, Alabama",29184
0500000US01095,"Marshall County, Alabama",99748
0500000US01097,"Mobile County, Alabama",412590
0500000US01099,"Monroe County, Alabama",19388
0500000US01101,"Montgomery County, Alabama",226718
0500000US01103,"Morgan County, Alabama",124471
0500000US01105,"Perry County, Alabama",8031
0500000US01107,"Pickens County, Alabama",18721
0500000US01109,"Pike County, Alabama",32987
0500000US01111,"Randolph County, Alabama",22510
0500000US01113,"Russell County, Alabama",58811
0500000US01115,"St. Clair County, Alabama",94166
0500000US01117,"Shelby County, Alabama",230211
0500000US01119,"Sumter County, Alabama",11878
0500000US01121,"Talladega County, Alabama",81021
0500000US01123,"Tallapoosa County, Alabama",40938
0500000US01125,"Tuscaloosa County, Alabama",237552
0500000US01127,"Walker County, Alabama",64841
0500000US01129,"Washington County, Alabama",15143
0500000US01131,"Wilcox County, Alabama",10172
0500000US01133,"Winston County, Alabama",23682
0500000US02013,"Aleutians East Borough, Alaska",3491
0500000US02016,"Aleutians West Census Area, Alaska",5235
0500000US02020,"Anchorage Municipality, Alaska",288976
0500000US02050,"Bethel Census Area, Alaska",18394
0500000US02060,"Bristol Bay Borough, Alaska",918
0500000US02063,"Chugach Census Area, Alaska",6862
0500000US02066,"Copper River Census Area, Alaska",2626
0500000US02068,"Denali Borough, Alaska",1969
0500000US02070,"Dillingham Census Area, Alaska",4724
0500000US02090,"Fairbanks North Star Borough, Alaska",95460
0500000US02100,"Haines Borough, Alaska",2086
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2311
0500000US02110,"Juneau City and Borough, Alaska",31794
0500000US02122,"Kenai Peninsula Borough, Alaska",60413
0500000US02130,"Ketchikan Gateway Borough, Alaska",13768
0500000US02150,"Kodiak Island Borough, Alaska",12771
0500000US02158,"Kusilvak Census Area, Alaska",8176
0500000US02164,"Lake and Peninsula Borough, Alaska",1013
0500000US02170,"Matanuska-Susitna Borough, Alaska",112988
0500000US02180,"Nome Census Area, Alaska",9866
0500000US02185,"North Slope Borough, Alaska",10810
0500000US02188,"Northwest Arctic Borough, Alaska",7441
